年別,Years,98,99,100,101,102,103,104,105,106,107,總計
業務,Business,570343,693599,722832,642966,678184,549410,545914,530369,538186,526760,5998563
觀光,Leisure,2078123,3014703,3410477,4432417,5222063,6886203,7191874,7192696,7207308,7137652,53773516
探親,Visit Relatives,244595,316041,300711,239812,260431,204596,212086,221338,233031,262563,2495204
會議,Conference,55521,71638,63738,44446,45681,44846,44697,47428,49472,53801,521268
求學,Study,42582,49682,47993,46556,58069,42703,45644,53118,58088,61053,505488
展覽,Exhibition,0,0,0,11618,11933,9057,9917,10814,12129,13168,78636
醫療,Medical Treament,0,0,0,57936,99320,60001,66210,37072,29570,33273,383382
其他,Others,663920,637397,718459,997933,763105,1173370,1353217,1531958,1457851,1757491,11054701
小計,Subtotals,3655084,4783060,5264210,6473684,7138786,8970186,9469559,9624793,9585635,9845761,74810758
,,,,,,,,,,,0.724946705,
